Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed?	Ct_replicate1	TIRRko_replicate1	Ct_replicate2	TIRR_replicate2	Average_ct	Average_TIRR	TIRRdel/ct	log2(TIRR/ct)
sp|Q5BKZ1|ZN326_HUMAN	ZNF326	 Zinc finger protein 326 OS=Homo sapiens GN=ZNF326 PE=1 SV=2	4709	37	C	6994.47	8443.38	6260.67	8141.52	6627.57	8292.45	1.251205193	0.323318405
sp|Q13015|AF1Q_HUMAN	MLLT11	 Protein AF1q OS=Homo sapiens GN=MLLT11 PE=2 SV=1	4484	5	C	1045.22	1360.08	961.385	1150.55	1003.3025	1255.315	1.251182968	0.323292779
sp|P30084|ECHM_HUMAN	ECHS1	" Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=ECHS1 PE=1 SV=4"	1242	51	C	13352.8	16053.7	11180.9	14630.6	12266.85	15342.15	1.250700057	0.322735844
tr|C9JKV9|C9JKV9_HUMAN	SORBS2	 Uncharacterized protein OS=Homo sapiens GN=SORBS2 PE=4 SV=2	2616	2	C	219.365	278.308	178.649	219.46	199.007	248.884	1.250629375	0.322654309
sp|Q9NV56|MRGBP_HUMAN	MRGBP	 MRG-binding protein OS=Homo sapiens GN=MRGBP PE=1 SV=1	4943	5	C	1247.38	1629.28	1221.53	1458.38	1234.455	1543.83	1.250616669	0.322639652
sp|Q9Y3X0|CCDC9_HUMAN	CCDC9	 Coiled-coil domain-containing protein 9 OS=Homo sapiens GN=CCDC9 PE=1 SV=1	1088	7	C	1543.33	1807.8	1300.27	1747.7	1421.8	1777.75	1.250351667	0.322333916
sp|Q01201|RELB_HUMAN	RELB	 Transcription factor RelB OS=Homo sapiens GN=RELB PE=1 SV=2	7078	1	C	89.4079	116.874	94.1343	112.618	91.7711	114.746	1.250350056	0.322332057
sp|Q9UI30|TR112_HUMAN	TRMT112	 tRNA methyltransferase 112 homolog OS=Homo sapiens GN=TRMT112 PE=1 SV=1	6065	12	C	1995.65	2524.24	1815.11	2240.11	1905.38	2382.175	1.250236173	0.32220065
sp|Q53S58|TM177_HUMAN	TMEM177	 Transmembrane protein 177 OS=Homo sapiens GN=TMEM177 PE=2 SV=1	6813	2	C	329.998	448.283	331.594	378.718	330.796	413.5005	1.250016627	0.321947284
sp|Q9Y5Y2|NUBP2_HUMAN	NUBP2	 Cytosolic Fe-S cluster assembly factor NUBP2 OS=Homo sapiens GN=NUBP2 PE=1 SV=1	6020	9	C	1828.77	2408.29	1832.76	2168.63	1830.765	2288.46	1.250002048	0.321930459
sp|Q8N0V3|RBFA_HUMAN	RBFA	" Putative ribosome-binding factor A, mitochondrial OS=Homo sapiens GN=RBFA PE=1 SV=3"	2231	4	C	618.788	848.759	608.355	685.1	613.5715	766.9295	1.249943161	0.321862492
sp|Q9H6Y7|RN167_HUMAN	RNF167	 E3 ubiquitin-protein ligase RNF167 OS=Homo sapiens GN=RNF167 PE=1 SV=1	2100	5	C	1514.41	2009.21	1457.05	1704.83	1485.73	1857.02	1.249904088	0.321817393
sp|O95881|TXD12_HUMAN	TXNDC12	 Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1	3933	26	C	12227.7	14461.7	9559.21	12769.3	10893.455	13615.5	1.249878941	0.321788367
sp|P56211-2|ARP19_HUMAN	ARPP19	 Isoform ARPP-16 of cAMP-regulated phosphoprotein 19 OS=Homo sapiens GN=ARPP19	5102	3	C	1381.2	1736.13	1239.24	1538.82	1310.22	1637.475	1.249771031	0.321663805
sp|Q9Y266|NUDC_HUMAN	NUDC	 Nuclear migration protein nudC OS=Homo sapiens GN=NUDC PE=1 SV=1	3752	48	C	21569	26533.8	18535.9	23584.1	20052.45	25058.95	1.24967024	0.32154745
tr|E7EV46|E7EV46_HUMAN	ERCC6	 Uncharacterized protein OS=Homo sapiens GN=ERCC6 PE=4 SV=1	810	7	C	1187.77	1533.77	1142.42	1378.19	1165.095	1455.98	1.249666336	0.321542943
sp|Q8NFH3|NUP43_HUMAN	NUP43	 Nucleoporin Nup43 OS=Homo sapiens GN=NUP43 PE=1 SV=1	4529	15	C	3165.91	3836.79	2940.98	3794.6	3053.445	3815.695	1.249636067	0.321507998
sp|O75223|GGCT_HUMAN	GGCT	 Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1	1815	10	C	3668.21	4681.87	3497.61	4270.76	3582.91	4476.315	1.249351784	0.321179758
sp|O00463|TRAF5_HUMAN	TRAF5	 TNF receptor-associated factor 5 OS=Homo sapiens GN=TRAF5 PE=1 SV=2	3916	2	C	274.894	366.58	273.807	318.92	274.3505	342.75	1.24931429	0.321136461
sp|Q16527|CSRP2_HUMAN	CSRP2	 Cysteine and glycine-rich protein 2 OS=Homo sapiens GN=CSRP2 PE=1 SV=3	3403	13	C	3258.24	3941.47	3070.89	3965.51	3164.565	3953.49	1.249299667	0.321119575
sp|P35244|RFA3_HUMAN	RPA3	 Replication protein A 14 kDa subunit OS=Homo sapiens GN=RPA3 PE=1 SV=1	3059	21	C	5676.54	7289.13	5403.34	6551.92	5539.94	6920.525	1.249205768	0.321011135
sp|Q9BWG4|SSBP4_HUMAN	SSBP4	 Single-stranded DNA-binding protein 4 OS=Homo sapiens GN=SSBP4 PE=1 SV=1	6927	1	C	243.209	321.94	206.71	240.093	224.9595	281.0165	1.249187076	0.320989548
sp|O75832|PSD10_HUMAN	PSMD10	 26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens GN=PSMD10 PE=1 SV=1	2976	12	C	3034.07	3762.6	2803.37	3529.11	2918.72	3645.855	1.249128042	0.320921369
sp|P14618-2|KPYM_HUMAN	PKM2	 Isoform M1 of Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM2	1042	241	C	62435.7	86847.5	59900.8	65928	61168.25	76387.75	1.248813723	0.320558296
sp|Q6PD74|AAGAB_HUMAN	AAGAB	 Alpha- and gamma-adaptin-binding protein p34 OS=Homo sapiens GN=AAGAB PE=1 SV=1	5920	9	C	3558.38	4450.65	3289.76	4097.81	3424.07	4274.23	1.248289317	0.319952347
sp|Q13636|RAB31_HUMAN	RAB31	 Ras-related protein Rab-31 OS=Homo sapiens GN=RAB31 PE=1 SV=1	1978	6	C	2511.61	2525.24	1584.25	2586.35	2047.93	2555.795	1.247989433	0.319605719
sp|Q2M1Z3|RHG31_HUMAN	ARHGAP31	 Rho GTPase-activating protein 31 OS=Homo sapiens GN=ARHGAP31 PE=1 SV=2	5302	4	C	384.508	499.983	341.556	405.813	363.032	452.898	1.247542916	0.319089446
sp|P39060-1|COIA1_HUMAN	COL18A1	 Isoform 2 of Collagen alpha-1(XVIII) chain OS=Homo sapiens GN=COL18A1	3189	10	C	2055.05	2524.26	1804.23	2290.32	1929.64	2407.29	1.247533219	0.319078231
tr|F5H6L2|F5H6L2_HUMAN	ZBTB47	 Uncharacterized protein OS=Homo sapiens GN=ZBTB47 PE=4 SV=1	5113	2	C	302.377	404.305	291.757	336.815	297.067	370.56	1.247395369	0.318918808
sp|P82921|RT21_HUMAN	MRPS21	" 28S ribosomal protein S21, mitochondrial OS=Homo sapiens GN=MRPS21 PE=1 SV=2"	847	4	C	635.828	858.692	645.216	739.221	640.522	798.9565	1.24735216	0.318868833
sp|Q53EU6|GPAT3_HUMAN	AGPAT9	 Glycerol-3-phosphate acyltransferase 3 OS=Homo sapiens GN=AGPAT9 PE=1 SV=2	658	7	C	1066.33	1300.22	1000.1	1276.38	1033.215	1288.3	1.246884724	0.318328092
sp|Q969K3-2|RNF34_HUMAN	RNF34	 Isoform 2 of E3 ubiquitin-protein ligase RNF34 OS=Homo sapiens GN=RNF34	2929	6	C	964.182	1162.57	860.322	1112.21	912.252	1137.39	1.246793649	0.318222711
sp|Q02086-2|SP2_HUMAN	SP2	 Isoform 2 of Transcription factor Sp2 OS=Homo sapiens GN=SP2	1177	2	C	383.212	527.788	387.553	432.894	385.3825	480.341	1.246400654	0.317767895
sp|Q9Y2B9|IPKG_HUMAN	PKIG	 cAMP-dependent protein kinase inhibitor gamma OS=Homo sapiens GN=PKIG PE=1 SV=1	6529	1	C	220.479	292.966	218.904	254.66	219.6915	273.813	1.246352271	0.317711892
sp|P62736|ACTA_HUMAN	ACTA2	" Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1"	1505	86	C	17986.9	23995.6	17712.8	20496.6	17849.85	22246.1	1.246290585	0.317640486
sp|P08476|INHBA_HUMAN	INHBA	 Inhibin beta A chain OS=Homo sapiens GN=INHBA PE=1 SV=2	1230	9	C	2103.15	2418.67	1774.73	2413.54	1938.94	2416.105	1.246095805	0.317414993
sp|P31943|HNRH1_HUMAN	HNRNPH1	 Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4	3029	83	C	19997	26031.6	18375.5	21776	19186.25	23903.8	1.245881816	0.317167222
sp|O43823|AKAP8_HUMAN	AKAP8	 A-kinase anchor protein 8 OS=Homo sapiens GN=AKAP8 PE=1 SV=1	2492	19	C	5064.93	6141.92	4626.48	5930.12	4845.705	6036.02	1.245643307	0.316891008
sp|Q9Y5V0|ZN706_HUMAN	ZNF706	 Zinc finger protein 706 OS=Homo sapiens GN=ZNF706 PE=1 SV=1	324	4	C	903.533	1191.06	867.955	1015.56	885.744	1103.31	1.245630792	0.316876513
sp|Q96C24-2|SYTL4_HUMAN	SYTL4	 Isoform 2 of Synaptotagmin-like protein 4 OS=Homo sapiens GN=SYTL4	4299	2	C	168.18	238.139	180.84	196.568	174.51	217.3535	1.245507421	0.316733617
sp|Q96ME1-4|FXL18_HUMAN	FBXL18	 Isoform 4 of F-box/LRR-repeat protein 18 OS=Homo sapiens GN=FBXL18	2567	7	C	1588.78	1990.99	1460.23	1805.65	1524.505	1898.32	1.245204181	0.316382326
sp|Q92628|K0232_HUMAN	KIAA0232	 Uncharacterized protein KIAA0232 OS=Homo sapiens GN=KIAA0232 PE=1 SV=5	1467	3	C	359.69	474.787	358.241	419.106	358.9655	446.9465	1.245095977	0.316256956
sp|P84157|MXRA7_HUMAN	MXRA7	 Matrix-remodeling-associated protein 7 OS=Homo sapiens GN=MXRA7 PE=1 SV=1	4999	1	C	413.027	497.612	336.805	435.874	374.916	466.743	1.244926864	0.31606099
sp|O43795-2|MYO1B_HUMAN	MYO1B	 Isoform 2 of Myosin-Ib OS=Homo sapiens GN=MYO1B	263	38	C	12594.9	15299	11129.4	14235.7	11862.15	14767.35	1.244913443	0.316045438
sp|Q96PU8-6|QKI_HUMAN	QKI	 Isoform 4 of Protein quaking OS=Homo sapiens GN=QKI	4405	22	C	5908.86	6880.27	5172.03	6913.64	5540.445	6896.955	1.244837734	0.315957698
sp|Q5VYK3|ECM29_HUMAN	ECM29	 Proteasome-associated protein ECM29 homolog OS=Homo sapiens GN=ECM29 PE=1 SV=2	156	66	C	17157.2	21199.7	15647.7	19636.3	16402.45	20418	1.244814037	0.315930234
sp|P63167|DYL1_HUMAN	DYNLL1	" Dynein light chain 1, cytoplasmic OS=Homo sapiens GN=DYNLL1 PE=1 SV=1"	4167	25	C	7219.01	8132.8	5318.94	7471.07	6268.975	7801.935	1.244531203	0.315602402
sp|O43639|NCK2_HUMAN	NCK2	 Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2	2619	10	C	2675.85	3460.7	2578.43	3076.7	2627.14	3268.7	1.244204725	0.31522389
sp|Q7L4I2-2|RSRC2_HUMAN	RSRC2	 Isoform 2 of Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens GN=RSRC2	6894	4	C	1035.91	1343.04	1011.28	1203.51	1023.595	1273.275	1.243924599	0.314899039
sp|Q01658|NC2B_HUMAN	DR1	 Protein Dr1 OS=Homo sapiens GN=DR1 PE=1 SV=1	5339	6	C	1377.46	1825.31	1382.3	1607.58	1379.88	1716.445	1.243908891	0.31488082
sp|Q12933-2|TRAF2_HUMAN	TRAF2	 Isoform 2 of TNF receptor-associated factor 2 OS=Homo sapiens GN=TRAF2	4243	5	C	1908.53	1817.36	1195.43	2043.58	1551.98	1930.47	1.243875565	0.314842169
sp|Q9BYB4|GNB1L_HUMAN	GNB1L	 Guanine nucleotide-binding protein subunit beta-like protein 1 OS=Homo sapiens GN=GNB1L PE=1 SV=2	6297	1	C	291.666	398.149	287.254	321.844	289.46	359.9965	1.243683065	0.314618882
sp|P28161|GSTM2_HUMAN	GSTM2	 Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2 PE=1 SV=2	3530	6	C	2433.62	2815.28	2199.63	2946.9	2316.625	2881.09	1.243658339	0.314590199
sp|Q96S38|KS6C1_HUMAN	RPS6KC1	 Ribosomal protein S6 kinase delta-1 OS=Homo sapiens GN=RPS6KC1 PE=1 SV=2	2723	9	C	1366.13	1760.82	1301.97	1557.1	1334.05	1658.96	1.243551591	0.314466362
sp|Q96S19|CP013_HUMAN	C16orf13	 UPF0585 protein C16orf13 OS=Homo sapiens GN=C16orf13 PE=1 SV=2	1359	11	C	2710.34	3449.96	2528.86	3065.11	2619.6	3257.535	1.24352382	0.314434143
sp|Q96A19|C102A_HUMAN	CCDC102A	 Coiled-coil domain-containing protein 102A OS=Homo sapiens GN=CCDC102A PE=1 SV=2	2821	11	C	1608.5	1925.14	1421.22	1842.35	1514.86	1883.745	1.243510952	0.314419213
sp|Q8TDB4|CD049_HUMAN	C4orf49	 Uncharacterized protein C4orf49 OS=Homo sapiens GN=C4orf49 PE=1 SV=1	4840	1	C	331.672	431.408	279.99	329.199	305.831	380.3035	1.24350867	0.314416566
sp|Q9Y4G8|RPGF2_HUMAN	RAPGEF2	 Rap guanine nucleotide exchange factor 2 OS=Homo sapiens GN=RAPGEF2 PE=1 SV=1	2806	7	C	863.159	1144.88	855.541	991.935	859.35	1068.4075	1.243273986	0.314144265
sp|Q9H0E2|TOLIP_HUMAN	TOLLIP	 Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1	1386	16	C	4439.82	5436.5	3908.09	4941.95	4173.955	5189.225	1.243239326	0.314104044
sp|O60565-2|GREM1_HUMAN	GREM1	 Isoform 2 of Gremlin-1 OS=Homo sapiens GN=GREM1	5685	3	C	803.18	1027.07	771.406	930.143	787.293	978.6065	1.243001652	0.313828214
sp|P52907|CAZA1_HUMAN	CAPZA1	 F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3	4217	41	C	9278.42	12202.2	9098.93	10639.5	9188.675	11420.85	1.242926755	0.313741282
sp|P11021|GRP78_HUMAN	HSPA5	 78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	1434	268	C	73305.6	107225	74860.2	76909.9	74082.9	92067.45	1.2427625	0.313550614
sp|Q99584|S10AD_HUMAN	S100A13	 Protein S100-A13 OS=Homo sapiens GN=S100A13 PE=1 SV=1	4593	14	C	5060.38	6792.77	5090.15	5813.27	5075.265	6303.02	1.241909536	0.312560087
sp|Q8N7W2-2|BEND7_HUMAN	BEND7	 Isoform 2 of BEN domain-containing protein 7 OS=Homo sapiens GN=BEND7	6076	1	C	260.118	321.766	216.145	269.639	238.1315	295.7025	1.24176138	0.312387968
sp|Q13126|MTAP_HUMAN	MTAP	 S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens GN=MTAP PE=1 SV=2	1190	32	C	7765.49	9614.42	7091.81	8833.59	7428.65	9224.005	1.241679848	0.31229324
sp|Q96HR3|MED30_HUMAN	MED30	 Mediator of RNA polymerase II transcription subunit 30 OS=Homo sapiens GN=MED30 PE=1 SV=1	5610	3	C	560.022	718.123	519.073	621.297	539.5475	669.71	1.24124382	0.311786535
sp|Q9H2W6|RM46_HUMAN	MRPL46	" 39S ribosomal protein L46, mitochondrial OS=Homo sapiens GN=MRPL46 PE=1 SV=1"	788	8	C	2309.46	2784.11	1738.73	2240.54	2024.095	2512.325	1.241209034	0.311746103
sp|P16220|CREB1_HUMAN	CREB1	 Cyclic AMP-responsive element-binding protein 1 OS=Homo sapiens GN=CREB1 PE=1 SV=2	6396	5	C	1446.97	1796.23	1320.16	1638	1383.565	1717.115	1.241080108	0.31159624
sp|Q3B7T1-3|EDRF1_HUMAN	EDRF1	 Isoform 2 of Erythroid differentiation-related factor 1 OS=Homo sapiens GN=EDRF1	7152	1	C	179.663	231.667	167.788	199.52	173.7255	215.5935	1.241000889	0.311504149
sp|P52565|GDIR1_HUMAN	ARHGDIA	 Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=1 SV=3	1015	21	C	7274.86	9597.09	6884.63	7970	7079.745	8783.545	1.240658385	0.311105925
sp|P14543-2|NID1_HUMAN	NID1	 Isoform 2 of Nidogen-1 OS=Homo sapiens GN=NID1	956	15	C	3156.73	3831.86	2974.44	3774.63	3065.585	3803.245	1.240626177	0.311068471
sp|O15116|LSM1_HUMAN	LSM1	 U6 snRNA-associated Sm-like protein LSm1 OS=Homo sapiens GN=LSM1 PE=1 SV=1	877	6	C	1883.31	2374.17	1724.55	2101.21	1803.93	2237.69	1.240452789	0.310866828
sp|Q9NR46|SHLB2_HUMAN	SH3GLB2	 Endophilin-B2 OS=Homo sapiens GN=SH3GLB2 PE=1 SV=1	3109	22	C	7632.79	9438.95	6839.6	8511.77	7236.195	8975.36	1.240342473	0.31073852
sp|Q16718|NDUA5_HUMAN	NDUFA5	 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens GN=NDUFA5 PE=1 SV=3	6389	11	C	2414.1	3344.37	2432.44	2666.48	2423.27	3005.425	1.240235302	0.31061386
tr|B7Z4Q3|B7Z4Q3_HUMAN	LUC7L2	 Uncharacterized protein OS=Homo sapiens GN=LUC7L2 PE=2 SV=1	912	10	C	2523.15	3128.87	2442.09	3028.89	2482.62	3078.88	1.240173687	0.310542186
tr|Q9H496|Q9H496_HUMAN	IFRG15	 IFRG15 protein OS=Homo sapiens GN=IFRG15 PE=2 SV=1	635	4	C	656.319	837.034	624.069	750.596	640.194	793.815	1.239960075	0.310293668
##sp|Q9BY84|DUS16_HUMAN	DUSP16	 Dual specificity protein phosphatase 16 OS=Homo sapiens GN=DUSP16 PE=1 SV=1	7001	2	C	902.743	1026.6	503.156	716.296	702.9495	871.448	1.239702141	0.309993531
sp|Q92600|RCD1_HUMAN	RQCD1	 Cell differentiation protein RCD1 homolog OS=Homo sapiens GN=RQCD1 PE=1 SV=1	4662	13	C	4256.95	4697.6	3187.65	4530.79	3722.3	4614.195	1.239608575	0.30988464
sp|Q8IW35-2|CEP97_HUMAN	CEP97	 Isoform 2 of Centrosomal protein of 97 kDa OS=Homo sapiens GN=CEP97	3353	11	C	2484.37	3234.38	2453.56	2886.4	2468.965	3060.39	1.239543695	0.309809129
sp|P81877|SSBP2_HUMAN	SSBP2	 Single-stranded DNA-binding protein 2 OS=Homo sapiens GN=SSBP2 PE=1 SV=2	6927	2	C	272.736	358.691	259.447	300.847	266.0915	329.769	1.23930678	0.309533359
sp|Q14872|MTF1_HUMAN	MTF1	 Metal regulatory transcription factor 1 OS=Homo sapiens GN=MTF1 PE=1 SV=2	6889	1	C	56.1305	73.5595	52.1868	60.6041	54.15865	67.0818	1.238616546	0.308729623
sp|Q9HCE6-2|ARGAL_HUMAN	ARHGEF10L	 Isoform 2 of Rho guanine nucleotide exchange factor 10-like protein OS=Homo sapiens GN=ARHGEF10L	6603	2	C	265.693	357.99	268.573	303.704	267.133	330.847	1.238510405	0.308605989
sp|Q8N5Z5-2|KCD17_HUMAN	KCTD17	 Isoform 2 of BTB/POZ domain-containing protein KCTD17 OS=Homo sapiens GN=KCTD17	3980	1	C	155.814	207.618	144.833	164.687	150.3235	186.1525	1.238345967	0.308414429
sp|Q96GY3|LIN37_HUMAN	LIN37	 Protein lin-37 homolog OS=Homo sapiens GN=LIN37 PE=1 SV=1	5349	3	C	308.384	386.174	278.334	340.245	293.359	363.2095	1.23810587	0.308134685
sp|Q9BVG4|CX026_HUMAN	CXorf26	 UPF0368 protein Cxorf26 OS=Homo sapiens GN=CXorf26 PE=1 SV=1	2467	16	C	4330.92	5425.25	3937.94	4809.67	4134.43	5117.46	1.237766754	0.307739477
sp|P05107|ITB2_HUMAN	ITGB2	 Integrin beta-2 OS=Homo sapiens GN=ITGB2 PE=1 SV=2	2856	3	C	1892.47	1845.26	1020.68	1760.44	1456.575	1802.85	1.237732352	0.307699379
sp|Q16595|FRDA_HUMAN	FXN	" Frataxin, mitochondrial OS=Homo sapiens GN=FXN PE=1 SV=2"	6562	6	C	1516.67	1871.47	1373.86	1706.07	1445.265	1788.77	1.237676136	0.307633852
sp|Q6P582|MZT2A_HUMAN	MZT2A	 Mitotic-spindle organizing protein 2A OS=Homo sapiens GN=MZT2A PE=1 SV=2	6165	1	C	96.5794	126.044	92.8053	108.345	94.69235	117.1945	1.237634297	0.307585082
sp|Q5VYS8-6|TUT7_HUMAN	ZCCHC6	 Isoform 6 of Terminal uridylyltransferase 7 OS=Homo sapiens GN=ZCCHC6	4055	2	C	207.877	264.65	188.303	225.558	198.09	245.104	1.237336564	0.307237977
sp|Q9UIU6|SIX4_HUMAN	SIX4	 Homeobox protein SIX4 OS=Homo sapiens GN=SIX4 PE=1 SV=2	4169	14	C	2374.85	2777.15	2111.62	2767.95	2243.235	2772.55	1.235960566	0.305632714
sp|P04632|CPNS1_HUMAN	CAPNS1	 Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1	6022	37	C	7537.25	9414.03	6881.67	8390.27	7209.46	8902.15	1.234787349	0.304262607
sp|Q8N6V9|TEX9_HUMAN	TEX9	 Testis-expressed sequence 9 protein OS=Homo sapiens GN=TEX9 PE=2 SV=1	6520	2	C	149.377	187.084	139.297	169.357	144.337	178.2205	1.234752697	0.30422212
sp|Q9UI26-2|IPO11_HUMAN	IPO11	 Isoform 2 of Importin-11 OS=Homo sapiens GN=IPO11	3844	8	C	2589.17	3251.6	2314	2801.39	2451.585	3026.495	1.234505432	0.303933185
sp|Q9H3F6|BACD3_HUMAN	KCTD10	 BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 OS=Homo sapiens GN=KCTD10 PE=1 SV=1	4078	7	C	1879.02	2187.43	1651.33	2170.65	1765.175	2179.04	1.234461172	0.30388146
sp|Q8N4L2|TM55A_HUMAN	TMEM55A	 Transmembrane protein 55A OS=Homo sapiens GN=TMEM55A PE=2 SV=1	1109	4	C	492.398	632.685	473.013	558.99	482.7055	595.8375	1.234370646	0.30377566
##tr|C9JS07|C9JS07_HUMAN	FAM123C	 Uncharacterized protein OS=Homo sapiens GN=FAM123C PE=4 SV=1	4778	1	C	404.71	527.629	398.65	463.908	401.68	495.7685	1.234237453	0.303619979
sp|O14737|PDCD5_HUMAN	PDCD5	 Programmed cell death protein 5 OS=Homo sapiens GN=PDCD5 PE=1 SV=3	3171	18	C	4583.66	6231.26	4578.12	5075.87	4580.89	5653.565	1.234163012	0.303532963
sp|Q15691|MARE1_HUMAN	MAPRE1	 Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3	4276	23	C	9050.73	10453.1	7152.73	9543.1	8101.73	9998.1	1.23406976	0.303423951
sp|P06733|ENOA_HUMAN	ENO1	 Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	563	253	C	63514.2	88860.2	63606	68009	63560.1	78434.6	1.234022602	0.303368819
##sp|P11908-2|PRPS2_HUMAN	PRPS2	 Isoform 2 of Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens GN=PRPS2	6079	1	C	292.236	368.896	259.761	312.218	275.9985	340.557	1.23390888	0.30323586
sp|O94804|STK10_HUMAN	STK10	 Serine/threonine-protein kinase 10 OS=Homo sapiens GN=STK10 PE=1 SV=1	317	17	C	4706.25	5655.63	4203.3	5337.88	4454.775	5496.755	1.233901824	0.303227611
sp|Q8IU85-2|KCC1D_HUMAN	CAMK1D	 Isoform 2 of Calcium/calmodulin-dependent protein kinase type 1D OS=Homo sapiens GN=CAMK1D	1236	4	C	594.831	752.524	565.853	679.137	580.342	715.8305	1.233463199	0.302714673
sp|Q7Z6K3|PTAR1_HUMAN	PTAR1	 Protein prenyltransferase alpha subunit repeat-containing protein 1 OS=Homo sapiens GN=PTAR1 PE=2 SV=2	3936	1	C	107.116	139.039	100.166	116.512	103.641	127.7755	1.232866337	0.302016396
sp|Q15147-4|PLCB4_HUMAN	PLCB4	" Isoform 3 of 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-4 OS=Homo sapiens GN=PLCB4"	2548	7	C	1448.88	1965.75	1450.6	1608.5	1449.74	1787.125	1.23272104	0.30184636
sp|Q6ZN04-2|MEX3B_HUMAN	MEX3B	 Isoform 2 of RNA-binding protein MEX3B OS=Homo sapiens GN=MEX3B	415	3	C	305.992	411.878	290.238	323.046	298.115	367.462	1.232618285	0.301726098
sp|O94955|RHBT3_HUMAN	RHOBTB3	 Rho-related BTB domain-containing protein 3 OS=Homo sapiens GN=RHOBTB3 PE=1 SV=2	6901	2	C	208.356	276.838	200.96	227.638	204.658	252.238	1.232485415	0.301570574
sp|Q9H4Z3|PCIF1_HUMAN	PCIF1	 Phosphorylated CTD-interacting factor 1 OS=Homo sapiens GN=PCIF1 PE=1 SV=1	4945	2	C	139.023	202.733	125.869	123.707	132.446	163.22	1.232351298	0.301413574
sp|Q9HCG7-2|GBA2_HUMAN	GBA2	 Isoform 2 of Non-lysosomal glucosylceramidase OS=Homo sapiens GN=GBA2	4933	12	C	2588.99	3321.42	2509.3	2961.26	2549.145	3141.34	1.232311226	0.301366661
sp|P17010|ZFX_HUMAN	ZFX	 Zinc finger X-chromosomal protein OS=Homo sapiens GN=ZFX PE=1 SV=2	6121	2	C	373.065	500.361	373.17	418.706	373.1175	459.5335	1.231605325	0.300540011
sp|Q8N5C8-2|TAB3_HUMAN	TAB3	 Isoform 2 of TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 OS=Homo sapiens GN=TAB3	3103	3	C	797.397	940.422	713.367	920.096	755.382	930.259	1.231508032	0.300426037
sp|P62072|TIM10_HUMAN	TIMM10	 Mitochondrial import inner membrane translocase subunit Tim10 OS=Homo sapiens GN=TIMM10 PE=1 SV=1	2799	16	C	6023.24	6881.59	4960.05	6642.41	5491.645	6762	1.23132504	0.300211649
sp|P33552|CKS2_HUMAN	CKS2	 Cyclin-dependent kinases regulatory subunit 2 OS=Homo sapiens GN=CKS2 PE=1 SV=1	6970	6	C	1675.4	2051.6	1476.79	1828.72	1576.095	1940.16	1.230991787	0.299821136
sp|Q5VZF2-2|MBNL2_HUMAN	MBNL2	 Isoform 2 of Muscleblind-like protein 2 OS=Homo sapiens GN=MBNL2	442	9	C	3011.65	3674.43	2753.93	3420.85	2882.79	3547.64	1.230627274	0.299393872
sp|P63279|UBC9_HUMAN	UBE2I	 SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1	3925	23	C	6457.29	7640.85	5914.4	7582.05	6185.845	7611.45	1.230462451	0.299200633
sp|Q8IXS6-2|PALM2_HUMAN	PALM2	 Isoform 2 of Paralemmin-2 OS=Homo sapiens GN=PALM2	253	23	C	6969.4	8182.11	5852.41	7591.06	6410.905	7886.585	1.23018279	0.298872698
sp|Q16610-4|ECM1_HUMAN	ECM1	 Isoform 4 of Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1	661	21	C	4749.72	5964.74	4497.94	5410.76	4623.83	5687.75	1.230094965	0.298769697
